,ID.org,Latitude,Longitude
0,A2234,40.73474521,-73.99086704
1,A1776,40.725746,-73.903899
2,RR7656,40.76967097,-73.90960373
3,DI178,40.62544,-74.028738
4,A1773,40.70282767,-73.99059336
5,Y163,40.77020705,-73.82767802
6,A819,40.72717042,-73.99518624
7,N307,40.8407584,-73.88512294
8,A3469,40.72987843,-73.98580004
9,RR9146,40.6767966,-73.74343975
10,RR3110,40.79852512,-73.95214772
11,DI2354,40.86129714,-73.85985977
12,RR2495,40.81037479,-73.92269195
13,RR7030,40.63960447,-74.01433955
14,N47,40.68204482,-73.87688327
15,DI3373,40.753179,-73.827395
16,A2371,40.777277,-73.982489
17,A2960,40.65572348,-74.00245304
18,165,40.71522115,-73.78443601
19,DI1251,40.68630853,-73.94778835
20,A48,40.80165046,-73.93671732
21,C4215,40.69178093,-73.9909977
22,RR2765,40.68489252,-73.93210328
23,134,40.7550707,-73.98085457
24,DI355,40.71688807,-74.00651009
25,RR8397,40.70476474,-74.0059898
26,DI2102,40.72170311,-73.95317271
27,Y325,40.6995272,-73.89813939
28,A2892,40.88328082,-73.86109557
29,RR2866,40.66988233,-73.92368666
30,A2511,40.72310129,-73.87618914
31,DI3058,40.813913,-73.9466
32,DI3872,40.653891,-73.830956
33,RR3560,40.69178093,-73.9909977
34,RR2887,40.72271351,-73.90357855
35,RR3624,40.75205,-73.994517
36,A1752,40.78050609,-73.98356422
37,RR7092,40.7468099,-73.99309659
38,C4042,40.79365201,-73.94936259
39,RR8763,40.81584043,-73.81348005
40,A715,40.82330256,-73.89524507
41,RR8553,40.65657637,-73.95319216
42,DI3518,40.671754,-73.869963
43,RR8070,40.80623,-73.948068
44,N317,40.671472,-73.924489
45,RR2764,40.68542117,-73.97429196
46,A98,40.61195128,-73.97715106
47,DI20,40.734356,-73.897733
48,A354,40.75837862,-73.9814231
49,DI1182,40.693258,-73.729855
50,RR8846,40.71707751,-74.00702761
51,85,40.77036609,-73.9884867
52,A2450,40.74300658,-74.00313292
53,DI1281,40.578183,-74.097643
54,RR8906,40.70476474,-74.0059898
55,DI3307,40.752034,-73.925903
56,A3298,40.51506156,-74.24327186
57,RR4563,40.57743438,-73.99599005
58,N439.1,40.67632286,-73.92105488
59,DI3231,40.878323,-73.907877
60,RR3636,40.66201694,-73.91061584
61,RR8424,40.628777,-73.945814
62,A675,40.77047718,-73.94205716
63,A708,40.69219249,-73.93953148
64,RR4919,40.666364,-73.985457
65,RR2706,40.72663371,-73.73589225
66,RR2512,40.763395,-73.829328
67,DI2749,40.819148,-73.950109
68,DI2446,40.634369,-74.118374
69,DI2353,40.86129714,-73.85985977
70,A2570,40.70921283,-73.87694386
71,DI2135,40.72356984,-73.99822975
72,DI3679,40.724699,-73.886835
73,RR7107,40.752572,-73.854759
74,RR6997,40.69178093,-73.9909977
75,RR3098,40.79020404,-73.94263022
76,C4057,40.70775205,-74.00558544
77,N423,40.81226514,-73.90265485
78,A1681,40.78577307,-73.84504962
79,Y76,40.82388599,-73.94627239
80,A899,40.865915,-73.919881
81,DI1610,40.70410109,-73.79753365
82,RR2290,40.63011565,-73.97910514
83,Y199.1,40.71436252,-74.0114607
84,DI2313,40.71271422,-74.01061003
85,C3059,40.81766167,-73.92002016
86,RR3112,40.75222802,-73.99213309
87,DI3591,40.655782,-73.953134
88,N327,40.81342625,-73.94496263
89,RR8056,40.77892,-73.78211
90,DI1573,40.60523202,-73.75152815
91,RR3662,40.74117596,-73.90701995
92,A735,40.70599326,-74.01259596
93,DI3893,40.736544,-73.814844
94,DI3096,40.648125,-73.951897
95,Y236,40.75605259,-73.99395277
96,A3357,40.72549055,-74.00927176
97,DI1630,40.73897127,-73.98459077
98,RR7041,40.67349726,-73.9458632
99,DI2409,40.693079,-73.844069
100,DI3247,40.753182,-73.884845
101,RR9017,40.76268969,-73.97827315
102,RR3587,40.84497158,-73.88891249
103,DI3682,40.820413,-73.861893
104,RR2408,40.69298108,-73.99115106
105,Y307,40.640999,-74.097854
106,RR9464,40.7056934,-74.01027203
107,DI181,40.72396022,-73.87358005
108,RR3354,40.7155209,-74.00267897
109,45,40.8496263,-73.93213651
110,RR3594,40.715744,-73.794362
111,RR8180,40.65145108,-73.93159438
112,RR2878,40.670526,-73.805677
113,DI497,40.673127,-73.960292
114,A360,40.76288615,-73.82479807
115,RR2572,40.69650041,-73.75140603
116,DI2781,40.649549,-73.887312
117,A1289,40.589797,-73.813567
118,Y333,40.71667782,-73.99535614
119,DI94,40.74847602,-73.99415113
120,DI1236,40.7593808,-73.99303188
121,Y478.1,40.743107,-73.906134
122,DI1742,40.75361853,-73.97162134
123,DI1458,40.79011824,-73.81128562
124,176,40.79093761,-73.97438436
125,A176,40.76321105,-73.9802972
126,A3258,40.68514704,-73.97355151
127,196,40.69178093,-73.9909977
128,A2583,40.68633307,-73.96270754
129,Y471,40.602157,-73.760226
130,DI2643,40.69441,-73.910095
