,,access,bridge,distance,from,hgv,highway,lanes,maxspeed,name,oneway,ref,service,to,tunnel
253960177,253960175,,,310.815804,253960177,,secondary,,,South Indiana Avenue,yes,,,253960175,
917877787,1317509540,,,135.230404,917877787,,primary,,,East Garfield Boulevard,yes,,,1317509540,
1317509540,917877784,,,135.315842,1317509540,,primary,,,East Garfield Boulevard,yes,,,917877784,
917877784,253960322,,,134.353733,917877784,,primary,,,East Garfield Boulevard,yes,,,253960322,
350982575,350982536,,,17.695742,350982575,,primary,,,West Garfield Boulevard,yes,,,350982536,
350982536,539183191,,,125.444341,350982536,,primary,,,West Garfield Boulevard,yes,,,539183191,
539183191,539183192,,,84.354508,539183191,,primary,,,West Garfield Boulevard,yes,,,539183192,
539183192,254241295,,,91.538135,539183192,,primary,,,West Garfield Boulevard,yes,,,254241295,
1960135807,1960135844,,,59.238999,1960135807,,service,,,,,,parking_aisle,1960135844,
1960135844,1960135705,,,46.439819,1960135844,,service,,,,,,parking_aisle,1960135705,
1960135705,1960135720,,,42.133958,1960135705,,service,,,,,,parking_aisle,1960135720,
269449365,712771421,,,33.293265,269449365,,secondary,4,,East 31st Street,,,,712771421,
259745627,259745628,,,89.389692,259745627,,residential,,,East 33rd Street,,,,259745628,
254241378,2392429361,,,32.29036,254241378,,residential,,,South Rhodes Avenue,,,,2392429361,
2392429361,2379703312,,,22.679251,2392429361,,residential,,,South Rhodes Avenue,,,,2379703312,
2379703312,3615841109,,,21.077572,2379703312,,residential,,,South Rhodes Avenue,,,,3615841109,
3615841109,259745631,,,14.481775,3615841109,,residential,,,South Rhodes Avenue,,,,259745631,
259745631,259745632,,,75.712639,259745631,,residential,,,South Rhodes Avenue,,,,259745632,
259745632,2379711036,,,36.999645,259745632,,residential,,,South Rhodes Avenue,,,,2379711036,
2379711036,2379711002,,,38.679485,2379711036,,residential,,,South Rhodes Avenue,,,,2379711002,
2379711002,259745633,,,25.986597,2379711002,,residential,,,South Rhodes Avenue,,,,259745633,
259745633,2379711065,,,49.603132,259745633,,residential,,,South Rhodes Avenue,,,,2379711065,
2379711065,259745634,,,32.360625,2379711065,,residential,,,South Rhodes Avenue,,,,259745634,
259745634,259745627,,,70.173917,259745634,,residential,,,South Rhodes Avenue,,,,259745627,
261276481,614386721,,,128.948003,261276481,,residential,,,East 33rd Street,,,,614386721,
259745633,5778631060,,,36.850786,259745633,,residential,,,East 32nd Street,,,,5778631060,
5778631060,5778631057,,,65.790647,5778631060,,residential,,,East 32nd Street,,,,5778631057,
5778631057,5778631059,,,61.767361,5778631057,,residential,,,East 32nd Street,,,,5778631059,
5778631059,259746173,,,15.322508,5778631059,,residential,,,East 32nd Street,,,,259746173,
259746173,2379703287,,,48.573387,259746173,,residential,,,South Ellis Avenue,,,,2379703287,
2379703287,259746174,,,27.528743,2379703287,,residential,,,South Ellis Avenue,,,,259746174,
259746174,259745634,,,181.403011,259746174,,residential,,,East 32nd Place,,,,259745634,
259745631,259746226,,,88.291237,259745631,,residential,,,East 31st Place,,,,259746226,
259746226,1789284785,,,17.321424,259746226,,residential,,,East 31st Place,,,,1789284785,
1789284785,259746227,,,62.979014,1789284785,,residential,,,East 31st Place,,,,259746227,
259746227,259746228,,,22.114552,259746227,,residential,,,East 31st Place,,,,259746228,
259746228,1789285239,,,85.26278,259746228,,residential,,,South Vernon Avenue,,,,1789285239,
1789285239,259746230,,,27.487007,1789285239,,residential,,,South Vernon Avenue,,,,259746230,
259746227,1789284760,,,19.202122,259746227,,residential,,,South Vernon Avenue,,,,1789284760,
1789284760,2379703204,,,16.743344,1789284760,,residential,,,South Vernon Avenue,,,,2379703204,
2379703204,1789284627,,,34.855166,2379703204,,residential,,,South Vernon Avenue,,,,1789284627,
1789284627,259746239,,,19.758303,1789284627,,residential,,,South Vernon Avenue,,,,259746239,
259746226,1789285165,,,67.961377,259746226,,residential,,,South Eberhart Avenue,,,,1789285165,
1789285165,259746240,,,7.318917,1789285165,,residential,,,South Eberhart Avenue,,,,259746240,
259746240,259745632,,,89.038079,259746240,,residential,,,East 32nd Street,,,,259745632,
614386724,1394106935,,,258.762636,614386724,no,trunk_link,,,,yes,,,1394106935,
261089553,2336660747,,,73.196811,261089553,,service,,,,,,,2336660747,
2336660747,2336664780,,,72.163618,2336660747,,service,,,,,,,2336664780,
261090915,261090916,,,58.718558,261090915,,secondary,,,West 71st Street,yes,,,261090916,
261090916,261090917,,,56.069433,261090916,,secondary,,,West 71st Street,yes,,,261090917,
261090917,387569027,,,14.330805,261090917,,secondary,,,West 71st Street,yes,,,387569027,
261090933,3224944318,,,105.303537,261090933,,footway,,,,,,,3224944318,
3224944318,3480660520,,,64.195053,3224944318,,footway,,,,,,,3480660520,
3480660520,3224944298,,,114.872789,3480660520,,footway,,,,,,,3224944298,
261093205,409738148,,,179.777868,261093205,,service,,,,,,,409738148,
409738148,409738149,,,86.678582,409738148,,service,,,,,,,409738149,
409738149,705879905,,,137.998833,409738149,,service,,,,,,,705879905,
261093470,2336660641,,,35.009936,261093470,,service,,,,,,alley,2336660641,
2336660641,2336660601,,,55.955366,2336660641,,service,,,,,,alley,2336660601,
2336660601,5495916418,,,46.061654,2336660601,,service,,,,,,alley,5495916418,
5495916418,261089554,,,2.972136,5495916418,,service,,,,,,alley,261089554,
261089554,2336664780,,,4.798798,261089554,,service,,,,,,alley,2336664780,
2336664780,2336664774,,,156.125053,2336664780,,service,,,,,,alley,2336664774,
2336664774,2336664757,,,21.610889,2336664774,,service,,,,,,alley,2336664757,
2336664757,261093472,,,21.436673,2336664757,,service,,,,,,alley,261093472,
261097050,1789285065,,,10.816086,261097050,,service,,,,,,driveway,1789285065,
1789285065,2379711055,,,51.279232,1789285065,,service,,,,,,driveway,2379711055,
2379711055,1789285118,,,3.937655,2379711055,,service,,,,,,driveway,1789285118,
261098648,3611446965,,,83.686573,261098648,,service,,,,,,alley,3611446965,
3611446965,3611446981,,,24.795665,3611446965,,service,,,,,,alley,3611446981,
3611446981,3611457694,,,38.467072,3611446981,,service,,,,,,alley,3611457694,
3611457694,261098649,,,56.499321,3611457694,,service,,,,,,alley,261098649,
261101361,1393843995,,,52.085841,261101361,,primary,,,South Cornell Drive,yes,,,1393843995,
1897896064,261102208,,,204.084609,1897896064,,service,,,,,,alley,261102208,
261102208,1897896014,,,48.283565,261102208,,service,,,,,,alley,1897896014,
261102570,2408214911,,,29.555147,261102570,,residential,,,South Drexel Avenue,,,,2408214911,
2408214911,261102572,,,186.250633,2408214911,,residential,,,South Drexel Avenue,,,,261102572,
