,Other Health Providers,Federally Qualified Health Centers,All Free Health Clinics,Hospitals,School-Based Health Centers
170310101001000,0.0,4.0,0.0,1.0,0.0
170310101001001,0.0,4.0,0.0,1.0,0.0
170310101001002,0.0,4.0,0.0,1.0,0.0
170310101001003,0.0,4.0,0.0,1.0,0.0
170310101002000,0.0,4.0,0.0,1.0,0.0
170310101002001,0.0,4.0,0.0,1.0,0.0
170310101002002,0.0,4.0,0.0,1.0,0.0
170310101002003,0.0,4.0,0.0,1.0,0.0
170310101002004,0.0,4.0,0.0,1.0,0.0
170310101002005,0.0,4.0,0.0,1.0,0.0
170310101002006,0.0,4.0,0.0,1.0,0.0
170310101002007,0.0,4.0,0.0,1.0,0.0
170310101002008,0.0,4.0,0.0,1.0,0.0
170310101002009,0.0,4.0,0.0,1.0,0.0
170310101002010,0.0,4.0,0.0,1.0,0.0
170310101002011,0.0,4.0,0.0,1.0,0.0
170310101002012,0.0,4.0,0.0,1.0,0.0
170310101002013,0.0,4.0,0.0,1.0,0.0
170310101003000,0.0,4.0,0.0,1.0,0.0
170310101003003,0.0,4.0,0.0,1.0,0.0
170310101003004,0.0,4.0,0.0,1.0,0.0
170310101003005,0.0,4.0,0.0,1.0,0.0
170310101003006,0.0,4.0,0.0,1.0,0.0
170310101003007,0.0,4.0,0.0,1.0,0.0
170310101003008,0.0,4.0,0.0,1.0,0.0
170310101003009,0.0,4.0,0.0,1.0,0.0
170310101003010,0.0,4.0,0.0,1.0,0.0
170310101003011,0.0,4.0,0.0,1.0,0.0
170310101003012,0.0,4.0,0.0,1.0,0.0
170310102011000,0.0,4.0,0.0,1.0,0.0
170310102011001,0.0,4.0,0.0,1.0,0.0
170310102011002,0.0,4.0,0.0,1.0,0.0
170310102011003,0.0,4.0,0.0,1.0,0.0
170310102011004,0.0,4.0,0.0,1.0,0.0
170310102011005,0.0,4.0,0.0,1.0,0.0
170310102011006,0.0,4.0,0.0,1.0,0.0
170310102011007,0.0,4.0,0.0,1.0,0.0
170310102011008,0.0,4.0,0.0,1.0,1.0
170310102011009,0.0,4.0,0.0,1.0,0.0
170310102011010,1.0,4.0,0.0,1.0,1.0
170310102011011,0.0,4.0,0.0,1.0,1.0
170310102011012,1.0,4.0,0.0,1.0,1.0
170310102011013,1.0,4.0,0.0,1.0,1.0
170310102012000,0.0,4.0,0.0,1.0,0.0
170310102012001,0.0,4.0,0.0,1.0,0.0
170310102012002,0.0,4.0,0.0,1.0,0.0
170310102012003,0.0,4.0,0.0,1.0,0.0
170310102012004,0.0,4.0,0.0,1.0,0.0
170310102012005,0.0,4.0,0.0,1.0,0.0
170310102012006,0.0,4.0,0.0,1.0,0.0
170310102012007,0.0,4.0,0.0,1.0,0.0
170310102012008,0.0,4.0,0.0,1.0,0.0
170310102012009,0.0,4.0,0.0,1.0,0.0
170310102012010,0.0,4.0,0.0,1.0,0.0
170310102012011,0.0,4.0,0.0,1.0,0.0
170310102012012,0.0,4.0,0.0,1.0,0.0
170310102012013,0.0,4.0,0.0,1.0,0.0
170310102012014,0.0,4.0,0.0,1.0,0.0
170310102012015,0.0,4.0,0.0,1.0,0.0
170310102012016,0.0,4.0,0.0,1.0,0.0
170310102012017,0.0,4.0,0.0,1.0,0.0
170310102012018,0.0,4.0,0.0,1.0,0.0
170310102012019,0.0,4.0,0.0,1.0,0.0
170310102012020,0.0,4.0,0.0,1.0,0.0
170310102012021,0.0,4.0,0.0,1.0,0.0
170310102012022,0.0,4.0,0.0,1.0,0.0
170310102012023,0.0,4.0,0.0,1.0,0.0
170310102012024,0.0,4.0,0.0,1.0,0.0
170310102012025,0.0,4.0,0.0,1.0,0.0
170310102012026,0.0,4.0,0.0,1.0,0.0
170310102012027,0.0,4.0,0.0,1.0,0.0
170310102012028,0.0,4.0,0.0,1.0,0.0
170310102012029,0.0,4.0,0.0,1.0,0.0
170310102012030,0.0,4.0,0.0,1.0,0.0
170310102012031,0.0,4.0,0.0,1.0,0.0
170310102012032,0.0,4.0,0.0,1.0,0.0
170310102012033,0.0,4.0,0.0,1.0,0.0
170310102012034,0.0,4.0,0.0,1.0,0.0
170310102012035,0.0,4.0,0.0,1.0,0.0
170310102012036,0.0,4.0,0.0,1.0,0.0
170310102012037,0.0,4.0,0.0,1.0,0.0
170310102012038,0.0,4.0,0.0,1.0,0.0
170310102012039,0.0,4.0,0.0,1.0,0.0
170310102012040,1.0,4.0,0.0,1.0,1.0
170310102013000,0.0,4.0,0.0,1.0,0.0
170310102013001,1.0,4.0,0.0,1.0,1.0
170310102013002,1.0,4.0,0.0,1.0,1.0
170310102013003,1.0,4.0,0.0,1.0,1.0
170310102013004,1.0,4.0,0.0,1.0,1.0
170310102013005,1.0,4.0,0.0,1.0,1.0
170310102013006,1.0,4.0,0.0,1.0,1.0
170310102013007,1.0,4.0,0.0,1.0,1.0
170310102013008,1.0,4.0,0.0,1.0,1.0
170310102013009,1.0,4.0,0.0,1.0,1.0
170310102013010,1.0,4.0,0.0,1.0,1.0
170310102013011,1.0,4.0,0.0,1.0,1.0
170310102021000,0.0,4.0,0.0,1.0,1.0
170310102021001,0.0,4.0,0.0,1.0,0.0
170310102021002,0.0,4.0,0.0,1.0,1.0
170310102021003,1.0,4.0,0.0,1.0,1.0
