,BLOCKID10,POP10,CE01_2014,long,lat
759,170315401014011,0,-1,-87.59584140000001,41.6541815
817,170317403001009,0,-1,-87.72033929999999,41.6939478
820,170317403001018,47,2,-87.7167341,41.692448399999996
867,170317404004001,37,3,-87.7090623,41.6839049
868,170317504003009,14,15,-87.6850815,41.6833364
995,170315502002110,0,-1,-87.57225,41.644903899999996
996,170315502002117,0,-1,-87.5632933,41.6482201
1026,170315502002084,0,-1,-87.5750297,41.6508886
1027,170315401013010,369,131,-87.6035526,41.6536151
1028,170315401011003,93,9,-87.60554470000001,41.6540313
1029,170315401023008,26,23,-87.6081498,41.6531007
1030,170315401021053,712,56,-87.61432090000001,41.6575888
1031,170315306001032,0,-1,-87.619978,41.661639799999996
1036,170315502002113,0,-1,-87.54371809999999,41.6460773
1080,170317404001021,34,2,-87.70531020000001,41.689435700000004
1081,170317504001012,48,3,-87.69028399999999,41.6890211
1082,170317504001011,24,7,-87.6903186,41.6908167
1083,170317504002027,10,1,-87.6837852,41.6775098
1178,170317404003014,70,7,-87.7214637,41.6841156
1233,170315401011027,0,-1,-87.6082579,41.650625700000006
1234,170315401011007,7,1,-87.6113624,41.65112979999999
1366,170315401012016,0,-1,-87.61933520000001,41.6507188
1479,170317502004000,57,1,-87.67285490000002,41.693701000000004
1480,170317205002030,55,4,-87.68367049999999,41.70181470000001
1481,170317204002000,180,31,-87.68732490000001,41.7108757
1490,170317004014016,14,0,-87.7064693,41.742659
1494,170316504003008,70,9,-87.71470359999999,41.7630651
1495,170316504003007,74,2,-87.7153222,41.7630597
1496,170316505001015,18,1,-87.7242996,41.767478499999996
1497,170316505002024,54,3,-87.73195150000001,41.7685369
1498,170317004011050,0,-1,-87.7120012,41.7429914
1499,170316407002006,93,13,-87.7477328,41.7754223
1500,170316408002014,72,13,-87.7380996,41.7721056
1501,170316405002013,35,5,-87.7992995,41.775356
1502,170316715002013,74,8,-87.6747791,41.7659308
1503,170316607001013,0,-1,-87.678953,41.7728888
1504,170316719001033,39,5,-87.66127540000001,41.76062329999999
1505,170316720001006,35,1,-87.6646963,41.7637584
