,ID.org,clean name,match_0,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9
0,N190,ST BERNARD SCHOOL AFTERCARE PROGRAM,"{'address': '2055 E 69th St; Brooklyn, NY 11234', 'score': 0.64, 'name': 'ST BERNARDS SCHOOL'}","{'address': '4 E 98th St; New York, NY 10029', 'score': 0.64, 'name': 'ST BERNARDS SCHOOL'}",{},{},{},{},{},{},{},{}
1,A682,COLLEGE OF STATEN ISLAND,"{'address': '2800 Victory Blvd; Staten Island, NY 10314', 'score': 0.91, 'name': 'COLLEGE OF STATEN ISLAND CUNY'}","{'address': '2800 Victory Blvd; Staten Island, NY 10314', 'score': 0.86, 'name': 'COLLEGE OF STATEN ISLAND LIBRARY'}","{'address': '1870 Drumgoole Rd E; Staten Island, NY 10309', 'score': 0.75, 'name': 'YESHIVA OF STATEN ISLAND'}","{'address': '2727 Arthur Kill Rd; Staten Island, NY 10309', 'score': 0.51, 'name': 'STATEN ISLAND GOLF PRACTICE'}","{'address': '30 Bay St Staten Island Ny #10301; Staten Island, NY 10301', 'score': 0.45, 'name': 'STATEN ISLAND EMPLOYMENT EDUCATION'}","{'address': '2800 Victory Blvd; Staten Island, NY 10314', 'score': 0.37, 'name': 'MOTORCYCLE SAFETY SCHOOL COLLEGE OF '}",{},{},{},{}
2,DI5227,JHS 185 EDWARD BLEEKER,{},{},{},{},{},{},{},{},{},{}
3,C4082,ENTERTAINMENT INTERNSHIP,"{'address': '1202 Ave N; Brooklyn, NY 11230', 'score': 0.53, 'name': 'CELEBRATION ENTERTAINMENT'}","{'address': '450 Lexington Ave A #STE 468; New York, NY 10163', 'score': 0.36, 'name': 'NEW YORK EVENTS'}","{'address': '1 Neck Rd; Brooklyn, NY 11214', 'score': 0.33, 'name': 'CASABLANCA ESCORT SERVICE'}","{'address': '240 E 55th St; New York, NY 10022', 'score': 0.31, 'name': 'KIDS PARTY CHARACTERS'}",{},{},{},{},{},{}
4,Y101,FIRST DEPARTMENT ASSIGNED OFFICE OF APPELLATE DEFEND,"{'address': '16 Ericsson Pl; New York, NY 10013', 'score': 0.34, 'name': 'NY CITY POLICE DEPT FIRST PCNT'}",{},{},{},{},{},{},{},{},{}
5,A1382,HORIZON CONCERTS,"{'address': '440 Lafayette St Fl #4; New York, NY 10003', 'score': 0.47, 'name': 'PLAYWRIGHTS HORIZONS SCHOOL'}",{},{},{},{},{},{},{},{},{}
6,DI210,INTERMEDIATE SCHOOL 201 PTA,"{'address': '730 Bryant Ave; Bronx, NY 10474', 'score': 0.55, 'name': 'PUBLIC SCHOOL 201'}","{'address': '6511 155th St; Flushing, NY 11367', 'score': 0.55, 'name': 'PUBLIC SCHOOL 201'}","{'address': '1940 Benson Ave; Brooklyn, NY 11214', 'score': 0.44, 'name': 'PTA BENSON ELEMENTARY SCHOOL'}","{'address': '8010 12th Ave; Brooklyn, NY 11228', 'score': 0.41, 'name': 'I S 201'}","{'address': '77 Marsh Ave; Staten Island, NY 10314', 'score': 0.38, 'name': 'P S 58 PTA'}","{'address': '55 Merrill Ave; Staten Island, NY 10314', 'score': 0.31, 'name': 'PTA OF PS 60'}",{},{},{},{}
7,A678,COLLAPSABLE GIRAFFE,{},{},{},{},{},{},{},{},{},{}
8,56,NY AQUARIUM,"{'address': '318 E 80th St #APT 3W; New York, NY 10075', 'score': 0.53, 'name': 'NY TAILS'}","{'address': '301 E 110th St; New York, NY 10029', 'score': 0.43, 'name': 'NY DOGGIE DAYCARE'}",{},{},{},{},{},{},{},{}
9,A3318,URBAN ART FORUM,"{'address': '965 Coney Island Ave; Brooklyn, NY 11230', 'score': 0.67, 'name': 'URBAN MARTIAL ARTS'}","{'address': '101 Smith St; Brooklyn, NY 11201', 'score': 0.62, 'name': 'URBAN FOLK ART'}","{'address': '21 Howard St Floor #5; New York, NY 10013', 'score': 0.59, 'name': 'URBAN ARTS PARTNERSHIP'}","{'address': '547 W 27th St; New York, NY 10001', 'score': 0.53, 'name': 'MONK DOGZ URBAN ART'}","{'address': '1025 5th Ave; New York, NY 10028', 'score': 0.48, 'name': 'ART URBAN PROJECTS'}","{'address': '49 Flatbush Ave Ext; Brooklyn, NY 11201', 'score': 0.43, 'name': 'URBAN ASSEMBLY SCHMUSIC AMP ART'}",{},{},{},{}
10,A3180,THEATER COMMUNICATIONS GROUP,"{'address': '520 8th Ave Rm #2400; New York, NY 10018', 'score': 0.91, 'name': 'ATRE COMMUNICATIONS GROUP'}",{},{},{},{},{},{},{},{},{}
11,RR9454,UNDERHILL GARDENS ASSOCIATION,{},{},{},{},{},{},{},{},{},{}
12,RR7736,BROOKLYN HEIGHTS SYNAGOGUE,"{'address': '131 Remsen St; Brooklyn, NY 11201', 'score': 1.0, 'name': 'BROOKLYN HEIGHTS SYNAGOGUE'}","{'address': '117 Remsen St; Brooklyn, NY 11201', 'score': 0.62, 'name': 'CHABAD OF BROOKLYN HEIGHTS'}",{},{},{},{},{},{},{},{}
13,RR7598,ALL FAITHS RESTORATION AND BEAUTIFICATION PROGRAM,{},{},{},{},{},{},{},{},{},{}
14,DI4800,DILLER QUALE,"{'address': '3735 Merritt Ave; Bronx, NY 10466', 'score': 0.42, 'name': 'QUALITY TILE'}","{'address': '2314 College Point Blvd; College Point, NY 11356', 'score': 0.34, 'name': 'COLLEGE POINT DIALYSIS CENTER'}",{},{},{},{},{},{},{},{}
15,A1344,HEIGHTS CENTER FOR IMMIGRANT ADVOCACY,"{'address': '36-16 Astoria Blvd; Astoria, NY 11103', 'score': 0.52, 'name': 'IMMIGRATION ADVOCACY SERVICES'}",{},{},{},{},{},{},{},{},{}
16,DI3359,SUMMER PLAY FESTIVAL,"{'address': '2031 Adam Clayton Powell Jr Blvd Frnt #1; New York, NY 10027', 'score': 0.58, 'name': 'IMAGENATION FILM FESTIVAL'}","{'address': '425 Lafayette St; New York, NY 10003', 'score': 0.57, 'name': 'NEW YORK SHAKESPEARE FESTIVAL'}","{'address': '307 7th Ave Rm #1206; New York, NY 10001', 'score': 0.53, 'name': 'NEW YORK FESTIVAL OF SONG'}","{'address': '229 W 42nd St; New York, NY 10036', 'score': 0.52, 'name': 'WILLIAMSTOWN ATRE FESTIVAL'}","{'address': '22 W 19th St #5R; New York, NY 10011', 'score': 0.51, 'name': 'N Y TELEVISION FESTIVAL'}",{},{},{},{},{}
17,101,GREATER ZION HILL,"{'address': '2365 Frederick Douglass Blvd; New York, NY 10027', 'score': 0.74, 'name': 'GREATER ZION HILL BAPTIST CHR'}","{'address': '629 E 169th St; Bronx, NY 10456', 'score': 0.4, 'name': 'ZION HILL PENTECOSTAL CHURCH'}",{},{},{},{},{},{},{},{}
18,E122,ST BERNADETTE GOLDEN AGE CLUB,"{'address': '763 President St; Brooklyn, NY 11215', 'score': 0.63, 'name': 'ST FRANCIS XAVIER GOLDEN AGE'}",{},{},{},{},{},{},{},{},{}
19,Y290,ALPHA PHI ALPHA SENIOR CITIZENS CENTER,"{'address': '22001 Linden Blvd; Cambria Heights, NY 11411', 'score': 0.88, 'name': 'ALPHA PHI ALPHA SENIOR CITIZEN'}",{},{},{},{},{},{},{},{},{}
20,A2307,ONE STOP RICHMOND HILL BLOCK ASSOCIATION,"{'address': '11008 Jamaica Ave; Richmond Hill, NY 11418', 'score': 0.81, 'name': 'RICHMOND HILL BLOCK ASSOCIATION ONE S'}",{},{},{},{},{},{},{},{},{}
