geoid10,lon,lat,Pop2014,Pov14,community
17031842400,       -87.6300402,        41.7424751,5157,769,44
17031840300,       -87.6818817,        41.8320942,5881,1021,59
17031841100,       -87.6350976,        41.8510057,3363,2742,34
17031841200,       -87.6833421,        41.8555619,3710,1819,31
17031838200,       -87.6750794,        41.8704157,3296,361,28
17031650301,       -87.7299913,        41.7749274,5744,759,65
17031530503,       -87.6374120,        41.6635979,5147,1640,53
17031760803,       -87.8441545,        41.9753463,7343,1877,76
17031540102,       -87.6054491,        41.6673324,3268,1789,54
17031540101,       -87.5997933,        41.6502199,3922,2724,54
17031440201,       -87.6100747,        41.7482101,5343,1604,44
17031839000,       -87.6314037,        41.8710438,5898,1250,32
17031030601,       -87.6549376,        41.9888870,3538,1045,77
17031030604,       -87.6527318,        41.9859194,2961,515,77
17031020801,       -87.6944152,        41.9868083,4512,788,2
17031843300,       -87.6925502,        41.8637638,3652,762,29
17031080202,       -87.6308996,        41.9058593,3533,159,8
17031070102,       -87.6422022,        41.9305829,2656,272,7
17031031501,       -87.6524481,        41.9672843,3430,1526,3
17031031502,       -87.6523659,        41.9636328,4386,1394,3
17031834900,       -87.6567340,        41.7722941,3335,1161,67
17031834800,       -87.6450875,        41.7836301,5554,836,68
17031160502,       -87.7130880,        41.9555843,4568,562,16
17031140702,       -87.7135759,        41.9635485,6252,1605,14
17031842000,       -87.6251708,        41.8349602,7989,146,35
17031150402,       -87.7720435,        41.9567979,3695,423,15
17031834400,       -87.5963096,        41.7769448,4342,1051,42
17031040201,       -87.6940005,        41.9725805,6195,1100,4
17031040202,       -87.6940963,        41.9798550,6691,1660,4
17031020702,       -87.7053885,        41.9952892,8232,1486,2
17031020802,       -87.6946301,        41.9940590,7942,2070,2
17031020301,       -87.7051864,        42.0068653,5239,380,2
17031838700,       -87.7201859,        41.8625779,5504,2412,29
17031841500,       -87.7079129,        41.8616224,5079,1497,29
17031838600,       -87.7008245,        41.8678237,2361,608,29
17031837300,       -87.7055517,        41.8716187,4802,731,27
17031837800,       -87.6841277,        41.8847502,4698,1009,28
17031837400,       -87.6938017,        41.8759749,4542,795,27
17031836900,       -87.7061350,        41.8818825,6468,511,27
17031020601,       -87.7018025,        42.0008747,6697,1381,2
17031020602,       -87.6936373,        42.0013156,4102,1075,2
17031020302,       -87.6949637,        42.0085408,4651,455,2
17031020902,       -87.6786969,        41.9942499,4195,720,2
17031010701,       -87.6786213,        42.0091486,3946,565,1
17031030103,       -87.6546958,        41.9953806,2238,389,77
17031030102,       -87.6551308,        41.9933961,2956,511,77
17031010502,       -87.6633274,        42.0045171,3690,1540,1
17031010503,       -87.6631272,        42.0003202,2228,848,1
17031010702,       -87.6727255,        42.0090199,5274,2003,1
17031837100,       -87.6987204,        41.8856734,2744,508,27
17031837000,       -87.6986748,        41.8783238,6052,1082,27
17031010201,       -87.6801489,        42.0160078,7083,2321,1
17031020901,       -87.6860850,        41.9942356,5013,1386,2
17031040401,       -87.6860812,        41.9720665,2836,341,4
17031210602,       -87.7125727,        41.9341668,4126,1065,21
17031160501,       -87.7129733,        41.9592099,4498,743,16
17031191302,       -87.7705328,        41.9202287,5088,1179,19
17031190602,       -87.7707373,        41.9275605,5265,500,19
17031840200,       -87.6491923,        41.8445752,7491,521,60
17031530501,       -87.6321658,        41.6742779,5192,1991,53
17031831400,       -87.7560880,        41.8691184,3716,691,25
17031831300,       -87.7442598,        41.9077665,3310,335,25
17031833000,       -87.6572426,        41.8852883,5421,320,28
17031760801,       -87.8448472,        41.9834847,4399,999,76
17031020701,       -87.7036893,        41.9868914,1893,393,2
17031010501,       -87.6639579,        42.0094116,3831,813,1
17031252101,       -87.7695728,        41.8754878,1787,443,25
17031252102,       -87.7598119,        41.8765925,5888,2210,25
17031252202,       -87.7445832,        41.8767584,4871,1678,25
17031220601,       -87.7128832,        41.9258250,1596,250,22
17031210502,       -87.7220526,        41.9337847,4909,1310,21
17031220602,       -87.7119813,        41.9293312,4690,1117,22
17031220901,       -87.7212485,        41.9191817,3297,1394,22
17031220902,       -87.7218355,        41.9227111,3325,800,22
17031200401,       -87.7375424,        41.9198287,3814,779,20
17031200402,       -87.7296796,        41.9196351,4033,1066,20
17031191301,       -87.7802650,        41.9201520,5941,1348,19
17031190601,       -87.7804607,        41.9274146,4777,1191,19
17031190701,       -87.7614220,        41.9297961,3072,325,19
17031190702,       -87.7610390,        41.9261628,5090,1225,19
17031190401,       -87.7809526,        41.9347278,4183,570,19
17031190402,       -87.7712315,        41.9348595,4642,1050,19
17031832100,       -87.6532421,        41.9528219,4622,631,6
17031843800,       -87.6404755,        41.8016568,6713,533,61
17031842800,       -87.6983044,        41.8075338,8507,2421,58
17031980100,       -87.7509615,        41.7859902,7363,0,56
17031833300,       -87.6541256,        41.8716917,5349,966,28
17031832900,       -87.6618900,        41.8741749,3872,927,28
17031838000,       -87.6806501,        41.8773643,2319,1466,28
17031838100,       -87.6716801,        41.8786650,5269,485,28
17031833100,       -87.6570448,        41.8790765,5830,1002,28
17031839100,       -87.6327464,        41.8810269,5729,717,32
17031030706,       -87.6516049,        41.9802350,3460,415,77
17031150401,       -87.7722648,        41.9645676,4805,773,15
17031150501,       -87.7819639,        41.9644763,3743,265,15
17031842900,       -87.6729380,        41.8631386,6834,972,28
17031841900,       -87.6429689,        41.8678924,2992,693,28
17031843000,       -87.7227520,        41.8679347,5326,1553,29
17031842100,       -87.7336101,        41.8952785,7838,2329,23
17031080201,       -87.6310071,        41.9094993,3235,212,8
17031070101,       -87.6325582,        41.9304641,3988,654,7
17031063301,       -87.6430244,        41.9345410,2626,599,6
17031063303,       -87.6346600,        41.9347305,1157,54,6
17031081201,       -87.6262139,        41.8991547,4552,396,8
17031081202,       -87.6218104,        41.9061375,3221,222,8
17031040402,       -87.6788184,        41.9725452,4701,411,4
17031220702,       -87.7242312,        41.9293686,4426,1134,22
17031842200,       -87.6498855,        41.9049338,7962,396,8
17031842300,       -87.6560664,        41.9022009,6138,540,24
17031843700,       -87.6907877,        41.9448264,5594,201,5
17031835000,       -87.6860493,        41.7828495,4182,2276,66
17031835100,       -87.6862483,        41.7901577,5174,1162,63
17031834700,       -87.6450336,        41.7906904,2785,1148,68
17031151001,       -87.7543520,        41.9423823,2538,972,15
17031151002,       -87.7471564,        41.9424922,4685,895,15
17031160602,       -87.7006349,        41.9560930,3983,581,16
17031140601,       -87.7258914,        41.9646474,2969,480,14
17031140701,       -87.7126518,        41.9670371,2385,259,14
17031140602,       -87.7210165,        41.9646521,5614,1046,14
17031140301,       -87.7231696,        41.9692055,2748,428,14
17031841800,       -87.5994213,        41.7663066,3815,784,69
17031842500,       -87.6232158,        41.7769505,2957,1766,69
17031842600,       -87.6516948,        41.8162185,9358,1200,61
17031843500,       -87.6967541,        41.8382144,12552,415,30
17031843400,       -87.7320217,        41.8493273,4988,392,29
17031843200,       -87.6633947,        41.8474396,6194,770,31
17031140302,       -87.7237901,        41.9725490,4472,994,14
17031110501,       -87.7619251,        41.9770024,4636,242,11
17031110502,       -87.7598508,        41.9702868,3646,688,11
17031760802,       -87.8472170,        41.9578322,2401,321,76
17031150502,       -87.7818408,        41.9567782,4290,647,15
17031843100,       -87.7007125,        41.8607502,3376,594,29
17031834300,       -87.5917741,        41.7458447,5444,1149,45
17031843900,       -87.5760170,        41.7765990,2643,943,42
17031831200,       -87.7322498,        41.9153185,6231,1353,20
17031831600,       -87.7976149,        41.9256106,2598,926,18
17031831500,       -87.7880229,        41.9276422,5266,321,19
17031831100,       -87.7174958,        41.9428559,2593,1333,21
17031831700,       -87.7452543,        41.9526504,5050,430,15
17031440202,       -87.6097621,        41.7409600,3604,1054,44
17031440102,       -87.6011635,        41.7409356,3156,1182,44
17031430102,       -87.5616345,        41.7693827,3414,849,43
17031030702,       -87.6547956,        41.9806769,1460,124,77
17031030603,       -87.6583971,        41.9854759,2048,677,77
17031030701,       -87.6579669,        41.9827458,1734,368,77
17031840800,       -87.7073719,        41.8408334,5952,1054,30
17031836300,       -87.6017575,        41.8015319,6465,234,41
17031838300,       -87.6384040,        41.9015666,4535,461,8
17031839800,       -87.6431629,        41.8350677,7462,330,60
17031836600,       -87.7088055,        41.8986971,6715,463,23
17031730202,       -87.6485418,        41.7264117,3479,706,73
17031430101,       -87.5739526,        41.7698263,3913,1041,43
17031063302,       -87.6398547,        41.9347650,4186,321,6
17031836200,       -87.6012844,        41.7904690,1329,47,41
17031840100,       -87.6391999,        41.8418679,7773,405,60
17031580502,       -87.6993103,        41.8145618,4893,1259,58
17031841400,       -87.7144125,        41.8533108,6621,647,29
17031081401,       -87.6197531,        41.8950395,2516,288,8
17031081403,       -87.6099678,        41.8919084,7004,492,8
17031030703,       -87.6578702,        41.9788746,2579,457,77
17031836000,       -87.6116836,        41.8140032,2904,898,38
17031835800,       -87.6187180,        41.8130457,6676,502,38
17031835900,       -87.6214991,        41.8201666,6888,1697,38
17031834500,       -87.6247360,        41.7880823,3334,711,40
17031843600,       -87.6089486,        41.8067653,2469,753,38
17031834600,       -87.6343063,        41.7872470,5475,1402,68
17031831800,       -87.7164526,        41.9782332,2157,919,13
17031832600,       -87.6540548,        41.9147490,4342,405,7
17031061901,       -87.6434578,        41.9432357,3785,428,6
17031770602,       -87.9044885,        42.0123907,5640,954,76
17031839700,       -87.6523575,        41.8330800,4450,1521,60
17031839900,       -87.6487068,        41.8271229,9166,665,60
17031835200,       -87.7452868,        41.7966437,5453,278,56
17031838800,       -87.5723192,        41.6835098,3331,1386,51
17031833900,       -87.5477994,        41.7318649,6308,1001,46
17031836800,       -87.7138630,        41.8850451,5105,1246,27
17031836700,       -87.7021746,        41.8917040,4718,917,23
17031832200,       -87.6799713,        41.9204773,3454,243,22
17031831000,       -87.6769999,        41.9147880,3363,8,22
17031832400,       -87.6922571,        41.9157414,3017,620,22
17031770902,       -87.8361841,        41.9700657,4936,238,76
17031660301,       -87.6982875,        41.7799542,1790,737,66
17031660302,       -87.6983927,        41.7835957,5554,1245,66
17031252201,       -87.7521048,        41.8766957,3007,1135,25
17031070103,       -87.6426048,        41.9268108,1679,260,7
17031220701,       -87.7215648,        41.9261553,3459,851,22
17031834000,       -87.6294991,        41.7275362,3590,758,49
17031834200,       -87.5836069,        41.7555675,4893,1624,43
17031835500,       -87.6325417,        41.8163540,1457,522,37
17031839500,       -87.6192902,        41.8340977,6327,299,35
17031839200,       -87.6220367,        41.8420111,6197,493,35
17031840400,       -87.6676800,        41.8338481,3606,1078,59
17031841000,       -87.6173871,        41.8484486,5000,135,33
17031301802,       -87.7277605,        41.8451852,2897,770,30
17031730201,       -87.6579116,        41.7268303,5824,1497,73
17031580501,       -87.6994969,        41.8199863,5059,1409,58
17031700302,       -87.7313063,        41.7383651,5686,792,70
17031700402,       -87.7118233,        41.7382301,3840,449,70
17031700401,       -87.7120356,        41.7455372,6261,583,70
17031830500,       -87.7239510,        41.8300655,3163,1014,30
17031841700,       -87.7041821,        41.8531303,7009,742,30
17031841600,       -87.7076010,        41.8553761,4320,556,29
17031840700,       -87.6942665,        41.8529302,2658,1887,30
17031841300,       -87.6830306,        41.8440833,4487,1410,31
17031301801,       -87.7350489,        41.8416617,4246,1655,30
17031530502,       -87.6266737,        41.6648049,1495,302,53
17031071400,       -87.6294059,        41.9221530,4357,681,7
17031071600,       -87.6411838,        41.9164730,1715,173,7
17031832300,       -87.6714491,        41.9192070,4605,168,22
17031832500,       -87.6641188,        41.9218779,6735,826,7
17031832000,       -87.6542959,        41.9462930,4805,413,6
17031030104,       -87.6556420,        41.9972770,3688,712,77
17031030101,       -87.6546675,        41.9912706,3727,900,77
17031160601,       -87.7021494,        41.9595317,3999,511,16
17031210501,       -87.7223308,        41.9374016,4569,748,21
17031210601,       -87.7122130,        41.9376352,3066,455,21
17031700502,       -87.6887682,        41.7388519,3001,204,70
17031836100,       -87.6186823,        41.7998049,7204,615,40
17031835700,       -87.6275977,        41.8128444,5512,248,38
17031836400,       -87.5958325,        41.8211751,6477,825,36
17031836500,       -87.6006382,        41.8282771,1614,818,36
17031839600,       -87.6192499,        41.8274414,6725,419,35
17031840000,       -87.6382990,        41.8311665,5046,391,60
17031835600,       -87.6322010,        41.8018353,7385,405,37
17031830800,       -87.6765782,        41.9651416,5860,170,4
17031460301,       -87.5563646,        41.7400279,2639,885,46
17031301701,       -87.7196236,        41.8424797,3744,1111,30
17031310400,       -87.6522639,        41.8565082,1426,192,31
17031530100,       -87.6179399,        41.6818525,2091,842,53
17031081100,       -87.6291097,        41.9002069,3657,605,8
17031150700,       -87.7619588,        41.9495919,4621,505,15
17031640100,       -87.7399953,        41.7820943,1230,98,64
17031081300,       -87.6207537,        41.8983357,5053,363,8
17031301702,       -87.7195249,        41.8388064,3694,1582,30
17031700301,       -87.7317115,        41.7456224,5796,1207,70
17031490902,       -87.6153261,        41.7032800,4825,740,49
17031490901,       -87.6162675,        41.6960581,4215,1264,49
17031650302,       -87.7177499,        41.7750956,4148,615,65
17031831900,       -87.6687920,        41.9451696,4583,155,6
17031830900,       -87.6853720,        41.9286293,5237,292,22
17031830700,       -87.6591714,        41.9609726,2590,1219,3
17031830600,       -87.6735741,        42.0016981,4733,1170,1
17031700501,       -87.6903420,        41.7462130,7871,344,70
17031460302,       -87.5573907,        41.7470864,3506,1596,46
17031431302,       -87.5627858,        41.7583854,3401,1258,43
17031431301,       -87.5601862,        41.7535301,3421,1525,43
17031440101,       -87.6013955,        41.7486354,3747,1285,44
17031301803,       -87.7278709,        41.8395497,5054,1948,30
17031310200,       -87.6442091,        41.8563085,1526,293,31
17031310300,       -87.6489803,        41.8561398,1493,337,31
17031310500,       -87.6547505,        41.8552242,1722,686,31
17031510300,       -87.5749725,        41.7157378,6037,1556,51
17031491400,       -87.6168210,        41.6891230,2698,943,49
17031500200,       -87.6003019,        41.7008558,2091,815,50
17031530200,       -87.6323959,        41.6815614,4893,2625,53
17031740100,       -87.6986078,        41.6972861,2805,116,74
17031140500,       -87.7318313,        41.9653616,4121,651,14
17031140800,       -87.7027749,        41.9644941,7209,1256,14
17031150200,       -87.7524134,        41.9606751,7821,1457,15
17031150300,       -87.7622861,        41.9605182,7526,874,15
17031300900,       -87.7027004,        41.8481802,3963,1945,30
17031301100,       -87.6979675,        41.8470218,3182,1284,30
17031301200,       -87.6914771,        41.8484172,3518,1348,30
17031740400,       -87.7193159,        41.6872387,4809,275,74
17031640300,       -87.7716353,        41.7815321,6947,268,64
17031640600,       -87.7714293,        41.7760359,4432,901,64
17031010400,       -87.6571665,        42.0054401,4730,582,1
17031020400,       -87.6859115,        42.0084864,4294,530,2
17031160300,       -87.7308970,        41.9572688,3877,941,16
17031310700,       -87.6649064,        41.8559905,1241,402,31
17031071500,       -87.6267626,        41.9149142,5710,465,7
17031071700,       -87.6410697,        41.9128656,1813,152,7
17031071800,       -87.6459669,        41.9145860,2670,173,7
17031670500,       -87.6764039,        41.7865780,1040,381,67
17031670600,       -87.6715777,        41.7830057,1636,727,67
17031670700,       -87.6667311,        41.7830684,1547,618,67
17031670800,       -87.6618788,        41.7831441,1688,773,67
17031670900,       -87.6570231,        41.7832130,1496,433,67
17031671100,       -87.6617115,        41.7767815,1486,912,67
17031671200,       -87.6665833,        41.7766998,1063,536,67
17031671300,       -87.6713489,        41.7739014,2190,937,67
17031671400,       -87.6762295,        41.7737925,1864,654,67
17031671500,       -87.6696325,        41.7681724,3254,1362,67
17031671600,       -87.6615119,        41.7695000,2291,949,67
17031230500,       -87.7339496,        41.9117237,3710,1077,23
17031230600,       -87.7339953,        41.9061891,6933,2683,23
17031240600,       -87.6897104,        41.9121618,1340,291,24
17031241000,       -87.6945342,        41.9079977,2036,551,24
17031191000,       -87.7438010,        41.9192298,2901,824,19
17031080300,       -87.6357996,        41.9074905,4480,543,8
17031300800,       -87.7075819,        41.8481109,4674,1846,30
17031650200,       -87.7302269,        41.7822226,7628,1516,65
17031660500,       -87.7079434,        41.7752435,5702,1802,66
17031221400,       -87.6945317,        41.9208012,2799,473,22
17031161000,       -87.7306832,        41.9499768,1726,169,16
17031340600,       -87.6325391,        41.8274174,1066,733,34
17031670100,       -87.6572084,        41.7904938,1601,600,67
17031240500,       -87.6836369,        41.9119702,2154,129,24
17031240700,       -87.6945971,        41.9121161,1427,506,24
17031240800,       -87.6994836,        41.9121064,1816,414,24
17031240900,       -87.7018840,        41.9047423,1236,212,24
17031241100,       -87.6895810,        41.9066668,4015,871,24
17031190300,       -87.7614633,        41.9349863,5445,644,19
17031190800,       -87.7513629,        41.9278189,6881,1471,19
17031190900,       -87.7441045,        41.9279225,1864,394,19
17031191100,       -87.7509758,        41.9196291,7936,1960,19
17031191200,       -87.7608277,        41.9201436,3975,1382,19
17031080100,       -87.6267896,        41.9075536,6657,469,8
17031080400,       -87.6409020,        41.9074116,4907,2472,8
17031081000,       -87.6321081,        41.9002652,7427,1428,8
17031150600,       -87.7717574,        41.9494729,3868,418,15
17031301600,       -87.7122528,        41.8407576,4513,1691,30
17031821402,       -87.6521323,        41.6622753,4716,565,53
17031750300,       -87.6861729,        41.6953913,2657,72,75
17031750100,       -87.6520277,        41.6958342,4411,1187,75
17031740200,       -87.7127053,        41.7047146,6307,254,74
17031650400,       -87.7171801,        41.7653247,7284,1697,65
17031650500,       -87.7320579,        41.7622541,4163,794,65
17031660600,       -87.6933397,        41.7772867,6164,2491,66
17031020500,       -87.6841986,        42.0013131,6004,1383,2
17031221100,       -87.7103619,        41.9210210,4810,1365,22
17031221300,       -87.6997530,        41.9211252,2762,681,22
17031221500,       -87.6899519,        41.9216472,2574,384,22
17031221600,       -87.6850983,        41.9212507,3118,402,22
17031160800,       -87.7128144,        41.9502130,5388,341,16
17031160900,       -87.7226082,        41.9500821,2272,159,16
17031161100,       -87.7381513,        41.9498772,2026,139,16
17031161200,       -87.7385700,        41.9425489,2664,243,16
17031161300,       -87.7310023,        41.9426994,3943,577,16
17031330200,       -87.6305353,        41.8613413,3756,471,33
17031420600,       -87.6132786,        41.7830139,2056,1319,42
17031420700,       -87.6106927,        41.7766912,3050,1363,42
17031661000,       -87.6850445,        41.7618185,5717,1533,66
17031823304,       -87.7027695,        41.6814162,4073,896,75
17031640400,       -87.7912475,        41.7811783,3653,302,64
17031640500,       -87.7909877,        41.7756823,3183,224,64
17031640700,       -87.7519344,        41.7764108,3235,402,64
17031640800,       -87.7397411,        41.7748237,1772,251,64
17031650100,       -87.7178562,        41.7823762,4510,902,65
17031010100,       -87.6698437,        42.0212614,4189,1212,1
17031020100,       -87.6871148,        42.0157194,3990,733,2
17031151200,       -87.7714961,        41.9421693,3680,257,15
17031310800,       -87.6685739,        41.8559338,4734,883,31
17031660400,       -87.7080435,        41.7825318,5975,1709,66
17031670400,       -87.6717697,        41.7902996,1858,909,67
17031340400,       -87.6320359,        41.8418854,1740,746,34
17031420800,       -87.6032575,        41.7769101,2292,964,42
17031421200,       -87.6089667,        41.7706572,1707,657,42
17031661100,       -87.7026881,        41.7607874,6029,1295,66
17031222500,       -87.6995958,        41.9157073,1424,281,22
17031222800,       -87.7150963,        41.9154354,1014,447,22
17031230300,       -87.7149871,        41.9118164,1170,328,23
17031351500,       -87.6277476,        41.8272749,415,130,35
17031381500,       -87.6228605,        41.8101920,250,81,38
17031190200,       -87.7516483,        41.9351134,5694,1376,19
17031390600,       -87.5943501,        41.8060180,1976,201,39
17031010300,       -87.6665349,        42.0159406,6213,1432,1
17031010600,       -87.6676831,        42.0062785,6513,999,1
17031020200,       -87.6995194,        42.0156904,6255,977,2
17031150800,       -87.7521176,        41.9497083,5451,455,15
17031151100,       -87.7617169,        41.9422900,5391,1019,15
17031160100,       -87.7427941,        41.9646280,2626,199,16
17031160200,       -87.7384019,        41.9587909,3822,121,16
17031160400,       -87.7228233,        41.9573655,5090,1461,16
17031310600,       -87.6595659,        41.8563349,5141,1868,31
17031310900,       -87.6746741,        41.8557716,5065,1481,31
17031320400,       -87.6173670,        41.8777215,2523,70,32
17031320600,       -87.6168817,        41.8711374,4451,730,32
17031740300,       -87.7107235,        41.6950695,4436,42,74
17031660700,       -87.6810954,        41.7738453,2677,1159,66
17031221200,       -87.7046502,        41.9210832,3065,420,22
17031160700,       -87.7019832,        41.9504190,6008,1051,16
17031222200,       -87.6838270,        41.9159099,1964,105,22
17031330100,       -87.6152944,        41.8593899,17582,1547,33
17031340300,       -87.6357897,        41.8428079,1734,413,34
17031340500,       -87.6329165,        41.8345180,1688,534,34
17031350400,       -87.6283676,        41.8419282,1379,981,35
17031750500,       -87.6712331,        41.6846160,6369,1524,75
17031750400,       -87.6850709,        41.6856567,3187,118,75
17031750200,       -87.6714255,        41.6956651,2875,203,75
17031430200,       -87.5813483,        41.7697314,4927,2273,43
17031660800,       -87.6932658,        41.7736413,6517,2264,66
17031660900,       -87.6979986,        41.7681040,4357,1985,66
17031670200,       -87.6620627,        41.7904248,985,359,67
17031670300,       -87.6669167,        41.7903576,1381,710,67
17031222600,       -87.7044789,        41.9156384,1554,258,22
17031222700,       -87.7101899,        41.9154902,2660,778,22
17031222900,       -87.7200740,        41.9155641,878,263,22
17031230100,       -87.7043673,        41.9120282,1646,471,23
17031230200,       -87.7100960,        41.9118826,1972,540,23
17031230400,       -87.7215416,        41.9118329,2666,639,23
17031170400,       -87.8127105,        41.9489080,3720,579,17
17031380700,       -87.6237685,        41.8138063,1216,329,38
17031381900,       -87.6138886,        41.8039557,1293,369,38
17031390200,       -87.5994765,        41.8130410,1637,374,39
17031171000,       -87.7965238,        41.9418071,7949,657,17
17031180100,       -87.7986731,        41.9344789,5918,929,18
17031390300,       -87.6042099,        41.8132011,2909,1222,39
17031390500,       -87.5991986,        41.8059781,1643,280,39
